,0,1,2,pH,label
286,1.0137352314949462,-0.0318092098882752,-0.050688770616531216,3.86,1
288,1.0676531747838085,-0.028897593105988002,-0.05121334764803107,3.86,1
283,0.9103363279528615,-0.026206663873429237,-0.04640674695288502,3.86,1
282,0.8584561359533912,-0.045873927515517145,-0.05965401636113046,3.86,1
281,0.8594904496399661,-0.027254486336257933,-0.057461891966489646,3.86,1
280,0.8553605036194917,-0.03813626049835966,-0.07173147695370034,3.86,1
284,0.9617110413502434,-0.07041835258780176,-0.054743529847990635,3.86,1
285,0.9933392623914187,-0.05968183826319315,-0.06152531701503948,3.86,1
290,1.2600224505369035,-0.06833847302796503,-0.015280150783555841,3.92,1
291,1.2615555844433117,-0.04558407179735528,-0.003929823851872475,3.92,1
292,1.293449541208608,-0.0670436000311182,-0.020589554883857455,3.92,1
293,1.3032905610959515,-0.050798630656997426,-0.001858139785020761,3.92,1
294,1.2678909832412149,-0.07752476984029462,-0.023489563579041733,3.92,1
295,1.2377860528070108,-0.08487886031611701,-0.018926682697714012,3.92,1
296,1.2204637407793815,-0.07910526943993912,-0.0077099028731018515,3.92,1
297,1.2121316035992618,-0.07474352539144755,-0.02105731072155269,3.92,1
299,1.1560063111583185,-0.0831751449608996,-0.007887501775212741,3.92,1
298,1.1900261835174235,-0.08866541030037313,-0.015713505396118283,3.92,1
29,0.32213715274278715,0.2864882113087679,-0.07284393193172586,3.95,0
28,0.17509963649143664,0.3488215273945462,-0.05881878141298747,3.95,0
27,0.36123972082240124,0.2694886282596023,-0.06267389798782863,3.95,0
26,0.26692602814190297,0.2930112508262502,-0.05639804689488391,3.95,0
20,0.4593511149966782,0.25906118228356834,-0.07585167066488506,3.95,0
24,0.3474756096224679,0.2772507475522646,-0.07296429417264878,3.95,0
23,0.2608701835948534,0.31428103699734145,-0.06395478006666096,3.95,0
22,0.3799556175180005,0.26401637809030126,-0.07710015225700659,3.95,0
21,0.4756943014551289,0.2564117389863286,-0.0811140108938798,3.95,0
25,0.39358655358966604,0.2572349094160197,-0.0815989076469319,3.95,0
39,0.8387232240836853,0.20116990961066317,-0.03640336514392949,4.0,0
38,0.8015685591352651,0.19958323716418822,-0.046748007381866755,4.0,0
