Channel Wavelength(nm) Current BackGround Spectrum1 
699 830.3 3946 145 3946 
700 830.85 3932 133 3932 
701 831.4 3926 140 3926 
702 831.96 3926 131 3926 
703 832.51 3907 151 3907 
704 833.06 3887 126 3887 
705 833.61 3886 141 3886 
706 834.16 3847 138 3847 
707 834.71 3838 143 3838 
708 835.26 3851 128 3851 
709 835.82 3830 133 3830 
710 836.37 3822 137 3822 
711 836.92 3817 143 3817 
712 837.47 3838 125 3838 
713 838.03 3838 146 3838 
714 838.58 3806 125 3806 
715 839.13 3804 148 3804 
716 839.68 3825 131 3825 
717 840.24 3822 146 3822 
718 840.79 3789 132 3789 
719 841.34 3773 150 3773 
720 841.89 3753 131 3753 
721 842.45 3756 139 3756 
722 843 3757 131 3757 
723 843.55 3750 141 3750 
724 844.11 3685 132 3685 
725 844.66 3755 152 3755 
726 845.21 3759 130 3759 
727 845.77 3726 146 3726 
728 846.32 3727 129 3727 
729 846.87 3701 142 3701 
730 847.43 3695 132 3695 
731 847.98 3678 148 3678 
732 848.53 3654 131 3654 
733 849.08 3651 140 3651 
734 849.64 3635 134 3635 
735 850.19 3670 138 3670 
736 850.74 3668 129 3668 
737 851.3 3646 144 3646 
738 851.85 3655 132 3655 
739 852.4 3641 144 3641 
740 852.95 3607 140 3607 
741 853.51 3598 147 3598 
742 854.06 3620 127 3620 
743 854.61 3616 141 3616 
744 855.16 3598 128 3598 
745 855.72 3578 140 3578 
746 856.27 3599 133 3599 
747 856.82 3560 139 3560 
748 857.37 3598 129 3598 
749 857.92 3579 138 3579 
750 858.48 3568 131 3568 
751 859.03 3536 149 3536 
752 859.58 3531 134 3531 
753 860.13 3542 148 3542 
754 860.68 3514 140 3514 
755 861.23 3519 140 3519 
756 861.78 3529 129 3529 
757 862.33 3498 141 3498 
758 862.89 3521 133 3521 
759 863.44 3506 144 3506 
760 863.99 3516 140 3516 
761 864.54 3503 147 3503 
762 865.09 3469 139 3469 
763 865.64 3487 146 3487 
764 866.18 3483 129 3483 
765 866.73 3480 157 3480 
766 867.28 3492 124 3492 
767 867.83 3435 147 3435 
768 868.38 3446 133 3446 
769 868.93 3435 143 3435 
770 869.48 3426 129 3426 
771 870.02 3438 134 3438 
772 870.57 3418 130 3418 
773 871.12 3397 148 3397 
774 871.67 3395 133 3395 
775 872.21 3372 150 3372 
776 872.76 3388 132 3388 
777 873.31 3380 138 3380 
778 873.85 3405 129 3405 
779 874.4 3385 143 3385 
780 874.94 3361 129 3361 
781 875.49 3361 146 3361 
782 876.03 3369 131 3369 
783 876.58 3377 139 3377 
784 877.12 3359 129 3359 
785 877.67 3359 148 3359 
786 878.21 3346 129 3346 
787 878.75 3341 138 3341 
788 879.3 3348 128 3348 
789 879.84 3329 144 3329 
790 880.39 3352 135 3352 
791 880.93 3363 137 3363 
792 881.47 3331 123 3331 
793 882.01 3329 141 3329 
794 882.56 3335 129 3335 
795 883.1 3322 140 3322 
796 883.64 3325 134 3325 
797 884.18 3310 148 3310 
798 884.73 3335 127 3335 
799 885.27 3342 139 3342 
800 885.81 3314 137 3314 
801 886.35 3303 143 3303 
802 886.89 3303 132 3303 
803 887.43 3285 146 3285 
804 887.98 3300 132 3300 
805 888.52 3288 151 3288 
806 889.06 3301 123 3301 
807 889.6 3316 140 3316 
808 890.14 3320 126 3320 
809 890.68 3299 154 3299 
810 891.22 3319 131 3319 
811 891.76 3274 150 3274 
812 892.3 3278 132 3278 
813 892.84 3268 148 3268 
814 893.38 3254 131 3254 
815 893.92 3286 149 3286 
816 894.46 3276 127 3276 
817 895 3248 151 3248 
818 895.54 3228 132 3228 
819 896.08 3220 144 3220 
820 896.62 3249 136 3249 
821 897.16 3233 150 3233 
822 897.7 3241 127 3241 
823 898.24 3247 140 3247 
824 898.78 3251 134 3251 
825 899.32 3224 142 3224 
826 899.86 3217 119 3217 
827 900.4 3219 146 3219 
828 900.94 3197 128 3197 
829 901.48 3175 144 3175 
830 902.02 3199 128 3199 
831 902.56 3170 152 3170 
832 903.1 3180 143 3180 
833 903.64 3181 145 3181 
834 904.18 3184 128 3184 
835 904.73 3162 145 3162 
836 905.27 3139 131 3139 
837 905.81 3131 145 3131 
838 906.35 3163 127 3163 
839 906.89 3153 135 3153 
840 907.43 3116 139 3116 
841 907.97 3101 151 3101 
842 908.51 3118 137 3118 
843 909.05 3117 149 3117 
844 909.59 3085 131 3085 
845 910.13 3094 150 3094 
846 910.67 3072 131 3072 
847 911.21 3065 150 3065 
848 911.76 3062 131 3062 
849 912.3 3077 136 3077 
850 912.84 3048 129 3048 
851 913.38 3055 141 3055 
852 913.92 3047 128 3047 
853 914.46 3028 152 3028 
854 915.01 3035 132 3035 
855 915.55 3023 149 3023 
856 916.09 3033 131 3033 
857 916.63 3041 154 3041 
858 917.18 3026 131 3026 
859 917.72 3012 149 3012 
860 918.26 3007 139 3007 
861 918.8 2995 143 2995 
862 919.35 2978 132 2978 
863 919.89 2989 143 2989 
